label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.21072,0.778261,-1e-06,0.306482,0.678776,-0.016306,0.354583,0.515683,-0.019557,0.379653,0.400729,-0.02385,0.431638,0.339155,-0.018776,0.292456,0.425456,-0.015844,0.327889,0.366064,-0.041451,0.317159,0.476327,-0.041568,0.291135,0.48866,-0.041086,0.221763,0.429807,-0.024453,0.273208,0.372102,-0.060565,0.274192,0.500041,-0.06406,0.247299,0.50463,-0.062008,0.163543,0.465682,-0.035641,0.208487,0.400322,-0.078787,0.229986,0.526176,-0.060397,0.200709,0.538923,-0.040832,0.108404,0.501573,-0.047005,0.154503,0.459662,-0.075338,0.178912,0.532477,-0.058125,0.154917,0.542854,-0.040833
A,0.212326,0.778831,-1e-06,0.308013,0.676989,-0.015386,0.355422,0.514146,-0.018462,0.380364,0.399266,-0.022702,0.431743,0.337461,-0.017663,0.289643,0.421604,-0.014472,0.326901,0.365189,-0.040339,0.316768,0.474581,-0.041274,0.28984,0.486632,-0.041407,0.219577,0.427125,-0.023649,0.27214,0.371248,-0.059845,0.273687,0.498877,-0.064127,0.246315,0.503036,-0.062859,0.161994,0.463733,-0.035358,0.208815,0.398532,-0.078655,0.230188,0.524811,-0.060617,0.20028,0.537503,-0.041411,0.107243,0.501147,-0.04715,0.154658,0.458832,-0.075792,0.179531,0.532215,-0.058789,0.15578,0.542995,-0.041668
A,0.213372,0.77789,-0.0,0.30735,0.681004,-0.015896,0.353911,0.52008,-0.019825,0.377661,0.404128,-0.025555,0.427427,0.34309,-0.022551,0.293605,0.429611,-0.013586,0.32652,0.366221,-0.040511,0.317709,0.476158,-0.041271,0.296205,0.497032,-0.040378,0.227005,0.434469,-0.022731,0.274156,0.370243,-0.060444,0.274451,0.498239,-0.063101,0.251084,0.511508,-0.059077,0.169235,0.467549,-0.034863,0.211162,0.39951,-0.079875,0.229678,0.525391,-0.060693,0.20511,0.545306,-0.03922,0.112072,0.502556,-0.047097,0.15545,0.458614,-0.076353,0.179048,0.533847,-0.058514,0.16047,0.550023,-0.03997
A,0.213883,0.781287,-1e-06,0.308583,0.683549,-0.018446,0.35554,0.521896,-0.021783,0.377902,0.405883,-0.026049,0.427846,0.344685,-0.020665,0.296302,0.430729,-0.015429,0.327038,0.365092,-0.042762,0.319763,0.475586,-0.043139,0.29801,0.495554,-0.041561,0.228455,0.435155,-0.023207,0.274248,0.372253,-0.058787,0.275889,0.50107,-0.060017,0.252011,0.508782,-0.055655,0.170311,0.468372,-0.034592,0.211164,0.399614,-0.079258,0.231002,0.52608,-0.060412,0.204399,0.539953,-0.039455,0.113648,0.503813,-0.046349,0.159088,0.458068,-0.075763,0.181135,0.531759,-0.058022,0.156233,0.544104,-0.039617
A,0.211105,0.781683,-1e-06,0.307241,0.681752,-0.015758,0.355415,0.52011,-0.018796,0.379636,0.404067,-0.023247,0.432941,0.345109,-0.018247,0.296519,0.426354,-0.013233,0.330308,0.366321,-0.037945,0.317877,0.478297,-0.037821,0.294299,0.490677,-0.037274,0.225915,0.429639,-0.021976,0.27806,0.36935,-0.055985,0.276303,0.497553,-0.057986,0.250551,0.501658,-0.055068,0.167915,0.465182,-0.033532,0.213819,0.39818,-0.07524,0.232329,0.523632,-0.056313,0.202849,0.535156,-0.036551,0.113357,0.500328,-0.045337,0.160055,0.458371,-0.072142,0.181849,0.53037,-0.054341,0.156562,0.539367,-0.036857
A,0.211914,0.778729,-1e-06,0.309264,0.678734,-0.014628,0.357719,0.51721,-0.017195,0.382457,0.401958,-0.021335,0.436125,0.343908,-0.01622,0.299639,0.425792,-0.012309,0.332609,0.366712,-0.036201,0.318962,0.477454,-0.036024,0.295435,0.489579,-0.035906,0.228951,0.429251,-0.021399,0.279986,0.368434,-0.056683,0.277551,0.495613,-0.060181,0.251855,0.50188,-0.058117,0.170983,0.464752,-0.032837,0.215406,0.397125,-0.074684,0.233423,0.5216,-0.055782,0.204068,0.534971,-0.03603,0.116515,0.498388,-0.044418,0.162135,0.456626,-0.071132,0.18315,0.528525,-0.053214,0.157972,0.537465,-0.035712
A,0.212544,0.776069,-1e-06,0.311363,0.677577,-0.012477,0.359376,0.518551,-0.014633,0.383152,0.404515,-0.019082,0.435158,0.345735,-0.014526,0.301265,0.429165,-0.008805,0.334134,0.367135,-0.033957,0.321203,0.477908,-0.03407,0.298789,0.494302,-0.033411,0.231705,0.432125,-0.019369,0.282032,0.366347,-0.057082,0.27875,0.494604,-0.061036,0.253672,0.505122,-0.058233,0.173038,0.465241,-0.032409,0.218649,0.397041,-0.076906,0.233906,0.522251,-0.057754,0.20496,0.537354,-0.036606,0.116483,0.497069,-0.045212,0.164005,0.453034,-0.073147,0.1839,0.527656,-0.054217,0.158727,0.538718,-0.035328
A,0.217094,0.774968,-0.0,0.312935,0.677605,-0.01476,0.360519,0.52013,-0.017697,0.384084,0.404755,-0.022427,0.434078,0.342815,-0.018313,0.300336,0.426093,-0.007783,0.332927,0.367918,-0.032577,0.321685,0.477678,-0.034359,0.298963,0.494716,-0.034639,0.231979,0.429939,-0.016758,0.28004,0.367496,-0.051018,0.278882,0.493806,-0.054307,0.254259,0.504944,-0.051532,0.174159,0.463132,-0.028861,0.218475,0.397254,-0.070685,0.235319,0.520437,-0.052778,0.207751,0.536403,-0.032901,0.119069,0.496531,-0.041096,0.165642,0.453595,-0.067681,0.185774,0.525713,-0.049852,0.162213,0.537513,-0.031908
A,0.217331,0.776266,-0.0,0.312781,0.679544,-0.015121,0.361215,0.524004,-0.019504,0.38586,0.40901,-0.025902,0.433226,0.344759,-0.024174,0.298989,0.428386,-0.01052,0.332942,0.372014,-0.036541,0.32329,0.479075,-0.039318,0.300696,0.497425,-0.040024,0.23404,0.432538,-0.019817,0.280618,0.372268,-0.055054,0.280531,0.496648,-0.058805,0.257048,0.508717,-0.056599,0.176492,0.464684,-0.032134,0.220563,0.397536,-0.075194,0.237261,0.519794,-0.057582,0.212388,0.538587,-0.037803,0.119481,0.499085,-0.044467,0.164038,0.452658,-0.072575,0.186022,0.524753,-0.05535,0.16738,0.540724,-0.037649
A,0.2204,0.778254,-0.0,0.313455,0.68359,-0.015632,0.361781,0.528991,-0.020461,0.386707,0.413054,-0.027239,0.434313,0.34885,-0.025808,0.302826,0.433934,-0.012105,0.335324,0.37313,-0.038084,0.326289,0.480945,-0.040155,0.304763,0.501284,-0.040242,0.237273,0.43809,-0.021433,0.282609,0.374822,-0.055585,0.282636,0.497807,-0.05799,0.260086,0.510522,-0.054882,0.178914,0.46972,-0.034013,0.221401,0.403228,-0.076332,0.238782,0.523336,-0.058902,0.215682,0.54248,-0.03932,0.121533,0.504116,-0.046711,0.165729,0.458557,-0.074373,0.187891,0.529153,-0.057465,0.170212,0.545239,-0.040031
A,0.221043,0.782548,-0.0,0.314102,0.684442,-0.017129,0.36093,0.523441,-0.020724,0.384271,0.407603,-0.025941,0.433225,0.34522,-0.022168,0.302621,0.430988,-0.01114,0.335019,0.371714,-0.038229,0.326372,0.480749,-0.040256,0.304585,0.499128,-0.039918,0.235769,0.435537,-0.019564,0.283322,0.376856,-0.055027,0.283866,0.502393,-0.057567,0.25998,0.511209,-0.05391,0.178015,0.469017,-0.031684,0.220692,0.405024,-0.075291,0.239971,0.528192,-0.057733,0.213962,0.544114,-0.037619,0.121472,0.50414,-0.044169,0.167118,0.461421,-0.072179,0.189564,0.533487,-0.05511,0.168027,0.546975,-0.037283
A,0.220523,0.78411,-0.0,0.313857,0.685588,-0.016819,0.359338,0.523149,-0.020674,0.382101,0.405846,-0.026298,0.432487,0.344448,-0.022758,0.302035,0.429424,-0.010554,0.334356,0.370554,-0.038076,0.325327,0.481601,-0.040586,0.30396,0.500264,-0.040672,0.233797,0.432566,-0.019011,0.281907,0.3763,-0.05426,0.282361,0.502957,-0.056619,0.258906,0.510317,-0.052993,0.175816,0.466113,-0.031181,0.219393,0.404762,-0.074464,0.238811,0.528637,-0.056702,0.212806,0.543201,-0.036688,0.120262,0.501736,-0.043759,0.167009,0.464804,-0.07163,0.189138,0.537505,-0.05468,0.167092,0.549134,-0.036965
A,0.217964,0.78666,-0.0,0.311968,0.683221,-0.015678,0.357764,0.52111,-0.019176,0.38154,0.407234,-0.024364,0.429169,0.343267,-0.02054,0.294147,0.424965,-0.011043,0.330804,0.372132,-0.037507,0.322884,0.480635,-0.04004,0.298741,0.496104,-0.040672,0.226288,0.43003,-0.020588,0.278742,0.376684,-0.05677,0.280919,0.502343,-0.061672,0.255098,0.509875,-0.060026,0.169374,0.466349,-0.033144,0.216062,0.405036,-0.076421,0.237241,0.529171,-0.059287,0.208691,0.543605,-0.040008,0.114826,0.504705,-0.045989,0.163046,0.465403,-0.073944,0.186198,0.537485,-0.0567,0.162518,0.548786,-0.039021
A,0.216209,0.787108,-1e-06,0.311119,0.684407,-0.017387,0.354395,0.517857,-0.020701,0.376974,0.401083,-0.025527,0.42618,0.341305,-0.020927,0.285716,0.424026,-0.009498,0.324753,0.367944,-0.039331,0.317738,0.479751,-0.044422,0.294344,0.500155,-0.046018,0.217711,0.431666,-0.018202,0.27251,0.378605,-0.056226,0.275083,0.506146,-0.061503,0.249384,0.51537,-0.05947,0.161379,0.467774,-0.030822,0.211255,0.410432,-0.075575,0.231518,0.534818,-0.05883,0.203547,0.549698,-0.039232,0.108147,0.507334,-0.044038,0.159529,0.471482,-0.072317,0.181636,0.545168,-0.055238,0.156736,0.557573,-0.037386
A,0.215588,0.790531,-1e-06,0.310337,0.682016,-0.017385,0.35135,0.516807,-0.02193,0.372723,0.397846,-0.0286,0.42411,0.33594,-0.025646,0.284171,0.426854,-0.007597,0.321096,0.367564,-0.040159,0.315247,0.480142,-0.047833,0.289804,0.501046,-0.050371,0.216052,0.436597,-0.016425,0.267533,0.379776,-0.055151,0.273352,0.506691,-0.061228,0.247188,0.51528,-0.059865,0.159717,0.474356,-0.029702,0.205816,0.410558,-0.074882,0.229422,0.533796,-0.058355,0.200279,0.550371,-0.038681,0.106006,0.513856,-0.043691,0.154347,0.471219,-0.07127,0.17937,0.540641,-0.054245,0.154746,0.554111,-0.036421
A,0.21776,0.794184,-1e-06,0.31052,0.68073,-0.017386,0.349046,0.513576,-0.022358,0.369607,0.394419,-0.029714,0.420932,0.332424,-0.027869,0.280585,0.427251,-0.006648,0.317394,0.368334,-0.040267,0.314806,0.479853,-0.049294,0.290123,0.503955,-0.052347,0.213725,0.438175,-0.016015,0.265622,0.381551,-0.05344,0.272835,0.506496,-0.058755,0.246321,0.517083,-0.057128,0.157639,0.475741,-0.030349,0.204287,0.41244,-0.07499,0.229037,0.533108,-0.058738,0.201175,0.552441,-0.039274,0.103282,0.517243,-0.045522,0.15322,0.471244,-0.072961,0.181085,0.540988,-0.055965,0.159645,0.559734,-0.038096
A,0.212047,0.796645,-1e-06,0.307462,0.682342,-0.01421,0.346812,0.513935,-0.017503,0.36596,0.399116,-0.023076,0.413217,0.338141,-0.019752,0.273385,0.421828,-0.010988,0.31505,0.367836,-0.039555,0.309636,0.479961,-0.044806,0.283796,0.500391,-0.046978,0.205199,0.432852,-0.021198,0.263205,0.379585,-0.057362,0.268428,0.505849,-0.063117,0.240105,0.516623,-0.0624,0.150697,0.473605,-0.034389,0.201805,0.413238,-0.075544,0.225936,0.534227,-0.058953,0.195802,0.551825,-0.040807,0.099669,0.5176,-0.048022,0.150039,0.475822,-0.073371,0.176459,0.544353,-0.056077,0.153064,0.559302,-0.038961
A,0.212692,0.796095,-1e-06,0.307493,0.681963,-0.01492,0.345564,0.51393,-0.01895,0.363739,0.398959,-0.025386,0.409699,0.336678,-0.022807,0.271184,0.419599,-0.009809,0.314409,0.368579,-0.041692,0.30906,0.48051,-0.048646,0.282965,0.503773,-0.051015,0.205527,0.430927,-0.020656,0.262806,0.37943,-0.059226,0.267394,0.506565,-0.06483,0.240068,0.518374,-0.063236,0.150989,0.46994,-0.035305,0.202949,0.415275,-0.079479,0.224442,0.536994,-0.063387,0.195895,0.554452,-0.044539,0.099058,0.515547,-0.050411,0.14842,0.474391,-0.077234,0.174456,0.542973,-0.060333,0.153671,0.55854,-0.042969
A,0.212546,0.794156,-1e-06,0.306463,0.680977,-0.01814,0.344606,0.512401,-0.02358,0.365444,0.394568,-0.030801,0.4158,0.3313,-0.028369,0.271409,0.419628,-0.010127,0.315463,0.366849,-0.044764,0.309117,0.480189,-0.053381,0.282157,0.500397,-0.056444,0.203981,0.43163,-0.019222,0.26481,0.380571,-0.060699,0.268738,0.507178,-0.06803,0.239743,0.514687,-0.067146,0.149184,0.471499,-0.032695,0.203138,0.416202,-0.079103,0.22496,0.537531,-0.063329,0.194916,0.552931,-0.044119,0.097545,0.515329,-0.046917,0.147924,0.476192,-0.074346,0.174976,0.544923,-0.057791,0.153382,0.558639,-0.040422
A,0.217303,0.79439,-1e-06,0.309526,0.678521,-0.013314,0.344933,0.51163,-0.017799,0.364888,0.395741,-0.025539,0.412602,0.329858,-0.02445,0.271297,0.420478,-0.005121,0.313376,0.367724,-0.038516,0.309789,0.479745,-0.046576,0.283204,0.504063,-0.049376,0.206008,0.43252,-0.017447,0.263048,0.37868,-0.057905,0.268727,0.504963,-0.064673,0.240036,0.517096,-0.06328,0.151522,0.472025,-0.033978,0.203204,0.414557,-0.08012,0.225577,0.536075,-0.064388,0.196139,0.555368,-0.045076,0.098996,0.517942,-0.050822,0.148727,0.475952,-0.079126,0.178328,0.545567,-0.062815,0.160462,0.562377,-0.045412
A,0.211728,0.795101,-1e-06,0.306455,0.682507,-0.018169,0.345642,0.514621,-0.023637,0.366155,0.397202,-0.030775,0.415938,0.333577,-0.028483,0.271476,0.42125,-0.011245,0.315992,0.369526,-0.045279,0.309777,0.482557,-0.053343,0.28336,0.504015,-0.056052,0.204039,0.433374,-0.020199,0.265304,0.382244,-0.06181,0.268827,0.509171,-0.069303,0.23969,0.51893,-0.068358,0.149365,0.473303,-0.03323,0.203769,0.417447,-0.079518,0.224923,0.539354,-0.063408,0.1948,0.556368,-0.043894,0.097493,0.517225,-0.046936,0.147838,0.476912,-0.074241,0.17422,0.546365,-0.057102,0.152381,0.561136,-0.039243
A,0.217281,0.795484,-1e-06,0.309213,0.680629,-0.012774,0.345192,0.514186,-0.016821,0.365875,0.398263,-0.023918,0.414142,0.333325,-0.022196,0.272916,0.422352,-0.005343,0.315616,0.369964,-0.037536,0.310975,0.481655,-0.045321,0.283704,0.503823,-0.048255,0.206359,0.433947,-0.017167,0.264331,0.380576,-0.056908,0.269772,0.505893,-0.06434,0.240567,0.516261,-0.063722,0.152039,0.473903,-0.032719,0.203834,0.416094,-0.077705,0.226925,0.53677,-0.062274,0.196455,0.554438,-0.043574,0.100157,0.518536,-0.048476,0.150821,0.477812,-0.076037,0.179751,0.547629,-0.059587,0.159822,0.563441,-0.042254
A,0.211993,0.793841,-1e-06,0.306937,0.681675,-0.01573,0.345839,0.514709,-0.020179,0.367117,0.397925,-0.026625,0.416447,0.334466,-0.023704,0.271665,0.423253,-0.009543,0.317038,0.372722,-0.042518,0.309365,0.484831,-0.049985,0.281197,0.501962,-0.052937,0.203446,0.434431,-0.01949,0.266244,0.38279,-0.061116,0.269414,0.509344,-0.068958,0.239252,0.516256,-0.068539,0.149073,0.474322,-0.03312,0.204206,0.41781,-0.079205,0.225697,0.539756,-0.063144,0.193875,0.554304,-0.044004,0.097991,0.517276,-0.047189,0.148924,0.478089,-0.074712,0.175511,0.547303,-0.058053,0.152559,0.559825,-0.040793
A,0.213717,0.797128,-1e-06,0.307027,0.684489,-0.014433,0.345945,0.517534,-0.018669,0.366035,0.402101,-0.025189,0.412262,0.33891,-0.022594,0.272326,0.423107,-0.010905,0.316094,0.369075,-0.042961,0.310331,0.482368,-0.050416,0.284245,0.503976,-0.053182,0.204516,0.434445,-0.021361,0.264833,0.382353,-0.060675,0.269199,0.509338,-0.067748,0.240247,0.519049,-0.067221,0.150009,0.474499,-0.035076,0.203249,0.417167,-0.078834,0.225881,0.539284,-0.062299,0.195825,0.556178,-0.043388,0.098772,0.518239,-0.049171,0.149743,0.479561,-0.075485,0.176249,0.550055,-0.057807,0.153753,0.565026,-0.03987
A,0.210712,0.798053,-1e-06,0.30611,0.68484,-0.017108,0.34702,0.515314,-0.021496,0.368602,0.3992,-0.027543,0.416049,0.335689,-0.024279,0.271108,0.420064,-0.012072,0.316138,0.369248,-0.043349,0.309204,0.48363,-0.05007,0.28178,0.500382,-0.052818,0.202559,0.433014,-0.020971,0.26477,0.38149,-0.061431,0.269124,0.50915,-0.069345,0.239475,0.517226,-0.069167,0.148224,0.474442,-0.033197,0.203073,0.41626,-0.077959,0.22595,0.538921,-0.061986,0.194585,0.554926,-0.043193,0.0971,0.517352,-0.045942,0.150198,0.478227,-0.072788,0.176637,0.548358,-0.055826,0.153121,0.562372,-0.038408
A,0.212773,0.795944,-1e-06,0.307387,0.686099,-0.01695,0.347119,0.517843,-0.020886,0.368876,0.400282,-0.026579,0.419745,0.336838,-0.02274,0.278651,0.428617,-0.00864,0.317989,0.372334,-0.040688,0.311401,0.484733,-0.048044,0.284536,0.502878,-0.050788,0.208739,0.438185,-0.017412,0.265621,0.384168,-0.056727,0.27026,0.509689,-0.064235,0.241419,0.515706,-0.063944,0.152869,0.477486,-0.030137,0.203089,0.418131,-0.074572,0.22692,0.538979,-0.058834,0.196467,0.553118,-0.040205,0.101081,0.51868,-0.043506,0.151317,0.478442,-0.070476,0.17812,0.548142,-0.053765,0.15444,0.561211,-0.036433
A,0.207868,0.791245,-0.0,0.302784,0.69001,-0.014192,0.34983,0.530096,-0.018393,0.375224,0.416803,-0.024793,0.421471,0.349036,-0.022988,0.28718,0.436617,-0.012016,0.325204,0.381482,-0.03959,0.315554,0.489026,-0.043062,0.2911,0.504114,-0.044477,0.218446,0.441472,-0.022218,0.273171,0.383251,-0.062608,0.273345,0.509173,-0.070625,0.246172,0.519094,-0.070582,0.160307,0.478309,-0.034591,0.208342,0.412214,-0.080338,0.228473,0.536999,-0.063462,0.200601,0.554104,-0.043937,0.103911,0.515408,-0.046795,0.150409,0.474317,-0.076243,0.176236,0.548072,-0.059208,0.157862,0.560879,-0.0416
A,0.205424,0.792714,-0.0,0.300758,0.696297,-0.015697,0.351881,0.537212,-0.019212,0.380073,0.422171,-0.024014,0.426911,0.354211,-0.019847,0.295495,0.438671,-0.015073,0.327713,0.38214,-0.041641,0.31269,0.493404,-0.043379,0.289682,0.502508,-0.044115,0.223651,0.442606,-0.023922,0.274299,0.38379,-0.062453,0.271544,0.510754,-0.068574,0.247497,0.514117,-0.068242,0.163839,0.479774,-0.034917,0.207626,0.412601,-0.079151,0.224567,0.536859,-0.061523,0.1979,0.546963,-0.042644,0.108045,0.513907,-0.045858,0.14856,0.475072,-0.073183,0.171575,0.546419,-0.056162,0.153805,0.553252,-0.039577
A,0.204052,0.787717,-1e-06,0.300936,0.695483,-0.016848,0.35259,0.536784,-0.02039,0.380773,0.421711,-0.025387,0.429929,0.356517,-0.021328,0.297702,0.440376,-0.01295,0.328986,0.380169,-0.040418,0.314375,0.490524,-0.042372,0.291345,0.502277,-0.042701,0.227395,0.443179,-0.021791,0.275067,0.382886,-0.059552,0.271513,0.510192,-0.06409,0.247666,0.514018,-0.062144,0.166932,0.477001,-0.033651,0.208964,0.41114,-0.078722,0.224395,0.536332,-0.060772,0.19822,0.546471,-0.04091,0.109052,0.509833,-0.045594,0.1494,0.470725,-0.073879,0.171158,0.544291,-0.056301,0.152015,0.552715,-0.038657
A,0.205133,0.78661,-0.0,0.3024,0.695726,-0.017071,0.355838,0.538591,-0.020943,0.383998,0.421995,-0.02589,0.431773,0.3563,-0.02226,0.297005,0.439495,-0.012699,0.329368,0.382052,-0.040225,0.315335,0.489903,-0.043424,0.293183,0.506951,-0.044446,0.22922,0.441266,-0.021372,0.273915,0.383025,-0.056978,0.270349,0.508622,-0.06054,0.248141,0.51612,-0.058565,0.168555,0.472655,-0.033416,0.209043,0.408009,-0.077574,0.222867,0.53146,-0.06039,0.200565,0.543718,-0.041411,0.109924,0.50738,-0.045498,0.149034,0.464664,-0.07403,0.170168,0.539354,-0.057094,0.154503,0.551644,-0.040075
